id,year,council_area,age_group,sex,number_assessed,percent_assessed
1322,2013,Scottish Borders,40 to 44 yrs old,All,18,9.72973
1323,2013,Scottish Borders,45+ yrs old,All,23,12.43243
1324,2013,Scottish Borders,Unknown,All,0,0
1325,2014,Scottish Borders,Under 20yrs old,All,6,4.22535
1326,2014,Scottish Borders,20 to 24 yrs old,All,25,17.60563
1327,2014,Scottish Borders,25 to 29 yrs old,All,28,19.71831
1328,2014,Scottish Borders,30 to 34 yrs old,All,36,25.35211
1329,2014,Scottish Borders,35 to 39 yrs old,All,26,18.30986
1330,2014,Scottish Borders,40 to 44 yrs old,All,12,8.4507
1331,2014,Scottish Borders,45+ yrs old,All,9,6.33803
1332,2014,Scottish Borders,Unknown,All,0,0
1333,2015,Scottish Borders,Under 20yrs old,All,7,4.60526
1334,2015,Scottish Borders,20 to 24 yrs old,All,24,15.78947
1335,2015,Scottish Borders,25 to 29 yrs old,All,28,18.42105
1336,2015,Scottish Borders,30 to 34 yrs old,All,31,20.39474
1337,2015,Scottish Borders,35 to 39 yrs old,All,24,15.78947
1338,2015,Scottish Borders,40 to 44 yrs old,All,18,11.84211
1339,2015,Scottish Borders,45+ yrs old,All,20,13.15789
1340,2015,Scottish Borders,Unknown,All,0,0
1341,2016,Scottish Borders,Under 20yrs old,All,8,3.72093
1342,2016,Scottish Borders,20 to 24 yrs old,All,20,9.30233
1343,2016,Scottish Borders,25 to 29 yrs old,All,35,16.27907
1344,2016,Scottish Borders,30 to 34 yrs old,All,41,19.06977
1345,2016,Scottish Borders,35 to 39 yrs old,All,44,20.46512
1346,2016,Scottish Borders,40 to 44 yrs old,All,30,13.95349
1347,2016,Scottish Borders,45+ yrs old,All,37,17.2093
1348,2016,Scottish Borders,Unknown,All,0,0
1349,2017,Scottish Borders,Under 20yrs old,All,8,5.12821
1350,2017,Scottish Borders,20 to 24 yrs old,All,22,14.10256
1351,2017,Scottish Borders,25 to 29 yrs old,All,33,21.15385
1352,2017,Scottish Borders,30 to 34 yrs old,All,33,21.15385
1353,2017,Scottish Borders,35 to 39 yrs old,All,24,15.38462
1354,2017,Scottish Borders,40 to 44 yrs old,All,18,11.53846
1355,2017,Scottish Borders,45+ yrs old,All,18,11.53846
1356,2017,Scottish Borders,Unknown,All,0,0
1357,2019,Scottish Borders,Under 20yrs old,All,6,3.20856
1358,2019,Scottish Borders,20 to 24 yrs old,All,26,13.90374
1359,2019,Scottish Borders,25 to 29 yrs old,All,37,19.7861
1360,2019,Scottish Borders,30 to 34 yrs old,All,31,16.57754
1361,2019,Scottish Borders,35 to 39 yrs old,All,41,21.92513
1362,2019,Scottish Borders,40 to 44 yrs old,All,30,16.04278
1363,2019,Scottish Borders,45+ yrs old,All,16,8.55615
1364,2019,Scottish Borders,Unknown,All,0,0
1365,2006,Clackmannanshire,Under 20yrs old,All,11,8.46154
1366,2006,Clackmannanshire,20 to 24 yrs old,All,24,18.46154
1367,2006,Clackmannanshire,25 to 29 yrs old,All,24,18.46154
1368,2006,Clackmannanshire,30 to 34 yrs old,All,24,18.46154
1369,2006,Clackmannanshire,35 to 39 yrs old,All,26,20
1370,2006,Clackmannanshire,40 to 44 yrs old,All,15,11.53846
1371,2006,Clackmannanshire,45+ yrs old,All,6,4.61538
1372,2006,Clackmannanshire,Unknown,All,0,0
1373,2007,Clackmannanshire,Under 20yrs old,All,7,6.03448
1374,2007,Clackmannanshire,20 to 24 yrs old,All,17,14.65517
1375,2007,Clackmannanshire,25 to 29 yrs old,All,33,28.44828
1376,2007,Clackmannanshire,30 to 34 yrs old,All,21,18.10345
1377,2007,Clackmannanshire,35 to 39 yrs old,All,27,23.27586
1378,2007,Clackmannanshire,40 to 44 yrs old,All,6,5.17241
1379,2007,Clackmannanshire,45+ yrs old,All,5,4.31034
1380,2007,Clackmannanshire,Unknown,All,0,0
1381,2008,Clackmannanshire,Under 20yrs old,All,8,6.20155
1382,2008,Clackmannanshire,20 to 24 yrs old,All,16,12.4031
1383,2008,Clackmannanshire,25 to 29 yrs old,All,44,34.10853
1384,2008,Clackmannanshire,30 to 34 yrs old,All,32,24.8062
1385,2008,Clackmannanshire,35 to 39 yrs old,All,16,12.4031
1386,2008,Clackmannanshire,40 to 44 yrs old,All,7,5.42636
1387,2008,Clackmannanshire,45+ yrs old,All,6,4.65116
1388,2008,Clackmannanshire,Unknown,All,0,0
1389,2009,Clackmannanshire,Under 20yrs old,All,17,13.49206
1390,2009,Clackmannanshire,20 to 24 yrs old,All,25,19.84127
1391,2009,Clackmannanshire,25 to 29 yrs old,All,23,18.25397
1392,2009,Clackmannanshire,30 to 34 yrs old,All,27,21.42857
1393,2009,Clackmannanshire,35 to 39 yrs old,All,20,15.87302
1394,2009,Clackmannanshire,40 to 44 yrs old,All,NA,NA
1395,2009,Clackmannanshire,45+ yrs old,All,NA,NA
1396,2009,Clackmannanshire,Unknown,All,0,0
1397,2010,Clackmannanshire,Under 20yrs old,All,30,18.51852
1398,2010,Clackmannanshire,20 to 24 yrs old,All,27,16.66667
1399,2010,Clackmannanshire,25 to 29 yrs old,All,30,18.51852
1400,2010,Clackmannanshire,30 to 34 yrs old,All,37,22.83951
1401,2010,Clackmannanshire,35 to 39 yrs old,All,21,12.96296
1402,2010,Clackmannanshire,40 to 44 yrs old,All,NA,NA
1403,2010,Clackmannanshire,45+ yrs old,All,NA,NA
1404,2010,Clackmannanshire,Unknown,All,0,0
1405,2011,Clackmannanshire,Under 20yrs old,All,30,22.05882
1406,2011,Clackmannanshire,20 to 24 yrs old,All,13,9.55882
1407,2011,Clackmannanshire,25 to 29 yrs old,All,28,20.58824
1408,2011,Clackmannanshire,30 to 34 yrs old,All,29,21.32353
1409,2011,Clackmannanshire,35 to 39 yrs old,All,18,13.235290000000001
1410,2011,Clackmannanshire,40 to 44 yrs old,All,11,8.08824
1411,2011,Clackmannanshire,45+ yrs old,All,7,5.14706
1412,2011,Clackmannanshire,Unknown,All,0,0
1413,2012,Clackmannanshire,Under 20yrs old,All,27,19.14894
1414,2012,Clackmannanshire,20 to 24 yrs old,All,24,17.02128
1415,2012,Clackmannanshire,25 to 29 yrs old,All,27,19.14894
1416,2012,Clackmannanshire,30 to 34 yrs old,All,23,16.31206
1417,2012,Clackmannanshire,35 to 39 yrs old,All,18,12.76596
1418,2012,Clackmannanshire,40 to 44 yrs old,All,12,8.51064
1419,2012,Clackmannanshire,45+ yrs old,All,10,7.0922
1420,2012,Clackmannanshire,Unknown,All,0,0
1421,2013,Clackmannanshire,Under 20yrs old,All,17,11.80556
1422,2013,Clackmannanshire,20 to 24 yrs old,All,24,16.66667
1423,2013,Clackmannanshire,25 to 29 yrs old,All,30,20.83333
1424,2013,Clackmannanshire,30 to 34 yrs old,All,28,19.44444
1425,2013,Clackmannanshire,35 to 39 yrs old,All,24,16.66667
1426,2013,Clackmannanshire,40 to 44 yrs old,All,8,5.55556
1427,2013,Clackmannanshire,45+ yrs old,All,13,9.02778
1428,2013,Clackmannanshire,Unknown,All,0,0
1429,2014,Clackmannanshire,Under 20yrs old,All,8,4.87805
1430,2014,Clackmannanshire,20 to 24 yrs old,All,18,10.97561
1431,2014,Clackmannanshire,25 to 29 yrs old,All,30,18.29268
1432,2014,Clackmannanshire,30 to 34 yrs old,All,36,21.95122
1433,2014,Clackmannanshire,35 to 39 yrs old,All,31,18.90244
1434,2014,Clackmannanshire,40 to 44 yrs old,All,26,15.85366
1435,2014,Clackmannanshire,45+ yrs old,All,15,9.14634
1436,2014,Clackmannanshire,Unknown,All,0,0
1437,2015,Clackmannanshire,Under 20yrs old,All,24,15.58442
1438,2015,Clackmannanshire,20 to 24 yrs old,All,16,10.38961
1439,2015,Clackmannanshire,25 to 29 yrs old,All,26,16.88312
1440,2015,Clackmannanshire,30 to 34 yrs old,All,29,18.83117
1441,2015,Clackmannanshire,35 to 39 yrs old,All,24,15.58442
1442,2015,Clackmannanshire,40 to 44 yrs old,All,19,12.33766
1443,2015,Clackmannanshire,45+ yrs old,All,16,10.38961
1444,2015,Clackmannanshire,Unknown,All,0,0
1445,2016,Clackmannanshire,Under 20yrs old,All,15,10.6383
1446,2016,Clackmannanshire,20 to 24 yrs old,All,18,12.76596
1447,2016,Clackmannanshire,25 to 29 yrs old,All,24,17.02128
1448,2016,Clackmannanshire,30 to 34 yrs old,All,35,24.8227
1449,2016,Clackmannanshire,35 to 39 yrs old,All,17,12.05674
1450,2016,Clackmannanshire,40 to 44 yrs old,All,11,7.80142
1451,2016,Clackmannanshire,45+ yrs old,All,20,14.1844
1452,2016,Clackmannanshire,Unknown,All,1,0.70922
1453,2017,Clackmannanshire,Under 20yrs old,All,20,12.65823
1454,2017,Clackmannanshire,20 to 24 yrs old,All,19,12.02532
1455,2017,Clackmannanshire,25 to 29 yrs old,All,29,18.35443
1456,2017,Clackmannanshire,30 to 34 yrs old,All,35,22.1519
1457,2017,Clackmannanshire,35 to 39 yrs old,All,25,15.82278
1458,2017,Clackmannanshire,40 to 44 yrs old,All,10,6.32911
1459,2017,Clackmannanshire,45+ yrs old,All,19,12.02532
1460,2017,Clackmannanshire,Unknown,All,1,0.63291
1461,2019,Clackmannanshire,Under 20yrs old,All,12,6.89655
1462,2019,Clackmannanshire,20 to 24 yrs old,All,22,12.64368
1463,2019,Clackmannanshire,25 to 29 yrs old,All,35,20.11494
1464,2019,Clackmannanshire,30 to 34 yrs old,All,40,22.98851
1465,2019,Clackmannanshire,35 to 39 yrs old,All,27,15.51724
1466,2019,Clackmannanshire,40 to 44 yrs old,All,16,9.1954
1467,2019,Clackmannanshire,45+ yrs old,All,22,12.64368
1468,2019,Clackmannanshire,Unknown,All,0,0
1469,2006,Dumfries and Galloway,Under 20yrs old,All,34,10.69182
1470,2006,Dumfries and Galloway,20 to 24 yrs old,All,69,21.69811
1471,2006,Dumfries and Galloway,25 to 29 yrs old,All,79,24.84277
1472,2006,Dumfries and Galloway,30 to 34 yrs old,All,64,20.12579
1473,2006,Dumfries and Galloway,35 to 39 yrs old,All,44,13.83648
1474,2006,Dumfries and Galloway,40 to 44 yrs old,All,19,5.97484
1475,2006,Dumfries and Galloway,45+ yrs old,All,9,2.83019
1476,2006,Dumfries and Galloway,Unknown,All,0,0
1477,2007,Dumfries and Galloway,Under 20yrs old,All,18,8.867
1478,2007,Dumfries and Galloway,20 to 24 yrs old,All,53,26.10837
1479,2007,Dumfries and Galloway,25 to 29 yrs old,All,41,20.19704
1480,2007,Dumfries and Galloway,30 to 34 yrs old,All,35,17.24138
1481,2007,Dumfries and Galloway,35 to 39 yrs old,All,34,16.74877
1482,2007,Dumfries and Galloway,40 to 44 yrs old,All,14,6.89655
1483,2007,Dumfries and Galloway,45+ yrs old,All,8,3.94089
1484,2007,Dumfries and Galloway,Unknown,All,0,0
1485,2008,Dumfries and Galloway,Under 20yrs old,All,14,6.79612
1486,2008,Dumfries and Galloway,20 to 24 yrs old,All,50,24.27184
1487,2008,Dumfries and Galloway,25 to 29 yrs old,All,45,21.84466
1488,2008,Dumfries and Galloway,30 to 34 yrs old,All,39,18.93204
1489,2008,Dumfries and Galloway,35 to 39 yrs old,All,35,16.99029
1490,2008,Dumfries and Galloway,40 to 44 yrs old,All,15,7.28155
1491,2008,Dumfries and Galloway,45+ yrs old,All,8,3.8835
1492,2008,Dumfries and Galloway,Unknown,All,0,0
1493,2009,Dumfries and Galloway,Under 20yrs old,All,17,8.05687
1494,2009,Dumfries and Galloway,20 to 24 yrs old,All,32,15.16588
1495,2009,Dumfries and Galloway,25 to 29 yrs old,All,44,20.85308
1496,2009,Dumfries and Galloway,30 to 34 yrs old,All,45,21.32701
1497,2009,Dumfries and Galloway,35 to 39 yrs old,All,38,18.00948
1498,2009,Dumfries and Galloway,40 to 44 yrs old,All,26,12.32227
1499,2009,Dumfries and Galloway,45+ yrs old,All,9,4.2654
1500,2009,Dumfries and Galloway,Unknown,All,0,0
1501,2010,Dumfries and Galloway,Under 20yrs old,All,13,4.83271
1502,2010,Dumfries and Galloway,20 to 24 yrs old,All,45,16.72862
1503,2010,Dumfries and Galloway,25 to 29 yrs old,All,58,21.56134
1504,2010,Dumfries and Galloway,30 to 34 yrs old,All,62,23.04833
1505,2010,Dumfries and Galloway,35 to 39 yrs old,All,51,18.95911
1506,2010,Dumfries and Galloway,40 to 44 yrs old,All,21,7.80669
1507,2010,Dumfries and Galloway,45+ yrs old,All,19,7.0632
1508,2010,Dumfries and Galloway,Unknown,All,0,0
1509,2011,Dumfries and Galloway,Under 20yrs old,All,13,4.92424
1510,2011,Dumfries and Galloway,20 to 24 yrs old,All,52,19.69697
1511,2011,Dumfries and Galloway,25 to 29 yrs old,All,62,23.48485
1512,2011,Dumfries and Galloway,30 to 34 yrs old,All,54,20.45455
1513,2011,Dumfries and Galloway,35 to 39 yrs old,All,40,15.15152
1514,2011,Dumfries and Galloway,40 to 44 yrs old,All,25,9.4697
1515,2011,Dumfries and Galloway,45+ yrs old,All,18,6.81818
1516,2011,Dumfries and Galloway,Unknown,All,0,0
1517,2012,Dumfries and Galloway,Under 20yrs old,All,21,6.52174
1518,2012,Dumfries and Galloway,20 to 24 yrs old,All,51,15.83851
1519,2012,Dumfries and Galloway,25 to 29 yrs old,All,73,22.67081
1520,2012,Dumfries and Galloway,30 to 34 yrs old,All,76,23.60248
1521,2012,Dumfries and Galloway,35 to 39 yrs old,All,46,14.28571
1522,2012,Dumfries and Galloway,40 to 44 yrs old,All,33,10.24845
1523,2012,Dumfries and Galloway,45+ yrs old,All,22,6.8323
1524,2012,Dumfries and Galloway,Unknown,All,0,0
1525,2013,Dumfries and Galloway,Under 20yrs old,All,36,9.52381
1526,2013,Dumfries and Galloway,20 to 24 yrs old,All,43,11.37566
1527,2013,Dumfries and Galloway,25 to 29 yrs old,All,82,21.69312
1528,2013,Dumfries and Galloway,30 to 34 yrs old,All,87,23.01587
1529,2013,Dumfries and Galloway,35 to 39 yrs old,All,52,13.75661
1530,2013,Dumfries and Galloway,40 to 44 yrs old,All,38,10.05291
1531,2013,Dumfries and Galloway,45+ yrs old,All,40,10.58201
1532,2013,Dumfries and Galloway,Unknown,All,0,0
1533,2014,Dumfries and Galloway,Under 20yrs old,All,34,9.60452
1534,2014,Dumfries and Galloway,20 to 24 yrs old,All,48,13.55932
1535,2014,Dumfries and Galloway,25 to 29 yrs old,All,66,18.64407
1536,2014,Dumfries and Galloway,30 to 34 yrs old,All,72,20.33898
1537,2014,Dumfries and Galloway,35 to 39 yrs old,All,55,15.53672
1538,2014,Dumfries and Galloway,40 to 44 yrs old,All,45,12.71186
1539,2014,Dumfries and Galloway,45+ yrs old,All,34,9.60452
1540,2014,Dumfries and Galloway,Unknown,All,0,0
1541,2015,Dumfries and Galloway,Under 20yrs old,All,31,8.80682
1542,2015,Dumfries and Galloway,20 to 24 yrs old,All,35,9.94318
1543,2015,Dumfries and Galloway,25 to 29 yrs old,All,70,19.88636
1544,2015,Dumfries and Galloway,30 to 34 yrs old,All,72,20.45455
1545,2015,Dumfries and Galloway,35 to 39 yrs old,All,64,18.18182
1546,2015,Dumfries and Galloway,40 to 44 yrs old,All,41,11.64773
1547,2015,Dumfries and Galloway,45+ yrs old,All,39,11.07955
1548,2015,Dumfries and Galloway,Unknown,All,0,0
1549,2016,Dumfries and Galloway,Under 20yrs old,All,21,6.34441
1550,2016,Dumfries and Galloway,20 to 24 yrs old,All,37,11.17825
1551,2016,Dumfries and Galloway,25 to 29 yrs old,All,57,17.22054
1552,2016,Dumfries and Galloway,30 to 34 yrs old,All,69,20.84592
1553,2016,Dumfries and Galloway,35 to 39 yrs old,All,64,19.33535
1554,2016,Dumfries and Galloway,40 to 44 yrs old,All,40,12.08459
1555,2016,Dumfries and Galloway,45+ yrs old,All,43,12.99094
1556,2016,Dumfries and Galloway,Unknown,All,0,0
1557,2017,Dumfries and Galloway,Under 20yrs old,All,15,4.58716
1558,2017,Dumfries and Galloway,20 to 24 yrs old,All,38,11.6208
1559,2017,Dumfries and Galloway,25 to 29 yrs old,All,47,14.37309
1560,2017,Dumfries and Galloway,30 to 34 yrs old,All,82,25.07645
1561,2017,Dumfries and Galloway,35 to 39 yrs old,All,72,22.01835
1562,2017,Dumfries and Galloway,40 to 44 yrs old,All,36,11.00917
1563,2017,Dumfries and Galloway,45+ yrs old,All,37,11.31498
1564,2017,Dumfries and Galloway,Unknown,All,0,0
1565,2019,Dumfries and Galloway,Under 20yrs old,All,16,4.93827
1566,2019,Dumfries and Galloway,20 to 24 yrs old,All,39,12.03704
1567,2019,Dumfries and Galloway,25 to 29 yrs old,All,48,14.81481
1568,2019,Dumfries and Galloway,30 to 34 yrs old,All,65,20.06173
1569,2019,Dumfries and Galloway,35 to 39 yrs old,All,78,24.07407
1570,2019,Dumfries and Galloway,40 to 44 yrs old,All,30,9.25926
1571,2019,Dumfries and Galloway,45+ yrs old,All,48,14.81481
1572,2019,Dumfries and Galloway,Unknown,All,0,0
1573,2006,East Dunbartonshire,Under 20yrs old,All,NA,NA
1574,2006,East Dunbartonshire,20 to 24 yrs old,All,NA,NA
1575,2006,East Dunbartonshire,25 to 29 yrs old,All,20,29.85075
1576,2006,East Dunbartonshire,30 to 34 yrs old,All,13,19.40299
1577,2006,East Dunbartonshire,35 to 39 yrs old,All,13,19.40299
1578,2006,East Dunbartonshire,40 to 44 yrs old,All,NA,NA
1579,2006,East Dunbartonshire,45+ yrs old,All,NA,NA
1580,2006,East Dunbartonshire,Unknown,All,0,0
1581,2007,East Dunbartonshire,Under 20yrs old,All,5,5.20833
1582,2007,East Dunbartonshire,20 to 24 yrs old,All,14,14.58333
1583,2007,East Dunbartonshire,25 to 29 yrs old,All,25,26.04167
1584,2007,East Dunbartonshire,30 to 34 yrs old,All,18,18.75
1585,2007,East Dunbartonshire,35 to 39 yrs old,All,12,12.5
1586,2007,East Dunbartonshire,40 to 44 yrs old,All,11,11.45833
1587,2007,East Dunbartonshire,45+ yrs old,All,11,11.45833
1588,2007,East Dunbartonshire,Unknown,All,0,0
1589,2008,East Dunbartonshire,Under 20yrs old,All,12,10.52632
1590,2008,East Dunbartonshire,20 to 24 yrs old,All,5,4.38596
1591,2008,East Dunbartonshire,25 to 29 yrs old,All,25,21.92982
1592,2008,East Dunbartonshire,30 to 34 yrs old,All,36,31.57895
1593,2008,East Dunbartonshire,35 to 39 yrs old,All,18,15.78947
1594,2008,East Dunbartonshire,40 to 44 yrs old,All,11,9.64912
1595,2008,East Dunbartonshire,45+ yrs old,All,7,6.14035
1596,2008,East Dunbartonshire,Unknown,All,0,0
1597,2009,East Dunbartonshire,Under 20yrs old,All,NA,NA
1598,2009,East Dunbartonshire,20 to 24 yrs old,All,NA,NA
1599,2009,East Dunbartonshire,25 to 29 yrs old,All,14,20.58824
1600,2009,East Dunbartonshire,30 to 34 yrs old,All,17,25
1601,2009,East Dunbartonshire,35 to 39 yrs old,All,12,17.64706
1602,2009,East Dunbartonshire,40 to 44 yrs old,All,NA,NA
1603,2009,East Dunbartonshire,45+ yrs old,All,NA,NA
1604,2009,East Dunbartonshire,Unknown,All,0,0
1605,2010,East Dunbartonshire,Under 20yrs old,All,NA,NA
1606,2010,East Dunbartonshire,20 to 24 yrs old,All,NA,NA
1607,2010,East Dunbartonshire,25 to 29 yrs old,All,9,16.66667
1608,2010,East Dunbartonshire,30 to 34 yrs old,All,13,24.07407
1609,2010,East Dunbartonshire,35 to 39 yrs old,All,7,12.96296
1610,2010,East Dunbartonshire,40 to 44 yrs old,All,7,12.96296
1611,2010,East Dunbartonshire,45+ yrs old,All,7,12.96296
1612,2010,East Dunbartonshire,Unknown,All,0,0
1613,2011,East Dunbartonshire,Under 20yrs old,All,10,8.69565
1614,2011,East Dunbartonshire,20 to 24 yrs old,All,14,12.17391
1615,2011,East Dunbartonshire,25 to 29 yrs old,All,15,13.04348
1616,2011,East Dunbartonshire,30 to 34 yrs old,All,35,30.43478
1617,2011,East Dunbartonshire,35 to 39 yrs old,All,14,12.17391
1618,2011,East Dunbartonshire,40 to 44 yrs old,All,17,14.78261
1619,2011,East Dunbartonshire,45+ yrs old,All,10,8.69565
1620,2011,East Dunbartonshire,Unknown,All,0,0
1621,2012,East Dunbartonshire,Under 20yrs old,All,NA,NA
1622,2012,East Dunbartonshire,20 to 24 yrs old,All,NA,NA
1623,2012,East Dunbartonshire,25 to 29 yrs old,All,26,19.69697
1624,2012,East Dunbartonshire,30 to 34 yrs old,All,21,15.90909
1625,2012,East Dunbartonshire,35 to 39 yrs old,All,29,21.9697
1626,2012,East Dunbartonshire,40 to 44 yrs old,All,22,16.66667
1627,2012,East Dunbartonshire,45+ yrs old,All,18,13.63636
1628,2012,East Dunbartonshire,Unknown,All,0,0
1629,2013,East Dunbartonshire,Under 20yrs old,All,NA,NA
1630,2013,East Dunbartonshire,20 to 24 yrs old,All,NA,NA
1631,2013,East Dunbartonshire,25 to 29 yrs old,All,20,20
1632,2013,East Dunbartonshire,30 to 34 yrs old,All,19,19
1633,2013,East Dunbartonshire,35 to 39 yrs old,All,24,24
1634,2013,East Dunbartonshire,40 to 44 yrs old,All,15,15
1635,2013,East Dunbartonshire,45+ yrs old,All,11,11
1636,2013,East Dunbartonshire,Unknown,All,0,0
1637,2014,East Dunbartonshire,Under 20yrs old,All,7,8.33333
1638,2014,East Dunbartonshire,20 to 24 yrs old,All,13,15.47619
1639,2014,East Dunbartonshire,25 to 29 yrs old,All,18,21.42857
1640,2014,East Dunbartonshire,30 to 34 yrs old,All,10,11.90476
1641,2014,East Dunbartonshire,35 to 39 yrs old,All,10,11.90476
1642,2014,East Dunbartonshire,40 to 44 yrs old,All,10,11.90476
1643,2014,East Dunbartonshire,45+ yrs old,All,16,19.04762
1644,2014,East Dunbartonshire,Unknown,All,0,0
1645,2015,East Dunbartonshire,Under 20yrs old,All,NA,NA
1646,2015,East Dunbartonshire,20 to 24 yrs old,All,NA,NA
1647,2015,East Dunbartonshire,25 to 29 yrs old,All,NA,NA
1648,2015,East Dunbartonshire,30 to 34 yrs old,All,7,21.875
1649,2015,East Dunbartonshire,35 to 39 yrs old,All,10,31.25
1650,2015,East Dunbartonshire,40 to 44 yrs old,All,NA,NA
1651,2015,East Dunbartonshire,45+ yrs old,All,NA,NA
1652,2015,East Dunbartonshire,Unknown,All,0,0
1653,2016,East Dunbartonshire,Under 20yrs old,All,NA,NA
1654,2016,East Dunbartonshire,20 to 24 yrs old,All,NA,NA
1655,2016,East Dunbartonshire,25 to 29 yrs old,All,6,14.63415
1656,2016,East Dunbartonshire,30 to 34 yrs old,All,7,17.07317
1657,2016,East Dunbartonshire,35 to 39 yrs old,All,6,14.63415
1658,2016,East Dunbartonshire,40 to 44 yrs old,All,5,12.19512
1659,2016,East Dunbartonshire,45+ yrs old,All,8,19.5122
1660,2016,East Dunbartonshire,Unknown,All,0,0
1661,2017,East Dunbartonshire,Under 20yrs old,All,5,7.46269
1662,2017,East Dunbartonshire,20 to 24 yrs old,All,7,10.44776
1663,2017,East Dunbartonshire,25 to 29 yrs old,All,16,23.8806
1664,2017,East Dunbartonshire,30 to 34 yrs old,All,10,14.92537
1665,2017,East Dunbartonshire,35 to 39 yrs old,All,8,11.9403
1666,2017,East Dunbartonshire,40 to 44 yrs old,All,12,17.91045
1667,2017,East Dunbartonshire,45+ yrs old,All,9,13.43284
1668,2017,East Dunbartonshire,Unknown,All,0,0
1669,2019,East Dunbartonshire,Under 20yrs old,All,NA,NA
1670,2019,East Dunbartonshire,20 to 24 yrs old,All,NA,NA
1671,2019,East Dunbartonshire,25 to 29 yrs old,All,11,16.41791
1672,2019,East Dunbartonshire,30 to 34 yrs old,All,8,11.9403
1673,2019,East Dunbartonshire,35 to 39 yrs old,All,10,14.92537
1674,2019,East Dunbartonshire,40 to 44 yrs old,All,13,19.40299
1675,2019,East Dunbartonshire,45+ yrs old,All,11,16.41791
1676,2019,East Dunbartonshire,Unknown,All,0,0
1677,2006,West Dunbartonshire,Under 20yrs old,All,21,5.22388
1678,2006,West Dunbartonshire,20 to 24 yrs old,All,67,16.66667
1679,2006,West Dunbartonshire,25 to 29 yrs old,All,112,27.8607
1680,2006,West Dunbartonshire,30 to 34 yrs old,All,92,22.88557
1681,2006,West Dunbartonshire,35 to 39 yrs old,All,55,13.68159
1682,2006,West Dunbartonshire,40 to 44 yrs old,All,33,8.20896
1683,2006,West Dunbartonshire,45+ yrs old,All,22,5.47264
1684,2006,West Dunbartonshire,Unknown,All,0,0
1685,2007,West Dunbartonshire,Under 20yrs old,All,21,5.45455
1686,2007,West Dunbartonshire,20 to 24 yrs old,All,47,12.20779
1687,2007,West Dunbartonshire,25 to 29 yrs old,All,94,24.41558
1688,2007,West Dunbartonshire,30 to 34 yrs old,All,102,26.49351
1689,2007,West Dunbartonshire,35 to 39 yrs old,All,58,15.06494
1690,2007,West Dunbartonshire,40 to 44 yrs old,All,43,11.16883
1691,2007,West Dunbartonshire,45+ yrs old,All,19,4.93506
1692,2007,West Dunbartonshire,Unknown,All,1,0.25974
1693,2008,West Dunbartonshire,Under 20yrs old,All,43,8.48126
1694,2008,West Dunbartonshire,20 to 24 yrs old,All,88,17.357
1695,2008,West Dunbartonshire,25 to 29 yrs old,All,117,23.07692
1696,2008,West Dunbartonshire,30 to 34 yrs old,All,118,23.27416
1697,2008,West Dunbartonshire,35 to 39 yrs old,All,62,12.2288
1698,2008,West Dunbartonshire,40 to 44 yrs old,All,44,8.6785
1699,2008,West Dunbartonshire,45+ yrs old,All,35,6.90335
1700,2008,West Dunbartonshire,Unknown,All,0,0
1701,2009,West Dunbartonshire,Under 20yrs old,All,36,8.35267
1702,2009,West Dunbartonshire,20 to 24 yrs old,All,60,13.92111
1703,2009,West Dunbartonshire,25 to 29 yrs old,All,90,20.88167
1704,2009,West Dunbartonshire,30 to 34 yrs old,All,98,22.73782
1705,2009,West Dunbartonshire,35 to 39 yrs old,All,72,16.70534
1706,2009,West Dunbartonshire,40 to 44 yrs old,All,40,9.28074
1707,2009,West Dunbartonshire,45+ yrs old,All,35,8.12065
1708,2009,West Dunbartonshire,Unknown,All,0,0
1709,2010,West Dunbartonshire,Under 20yrs old,All,42,9.97625
1710,2010,West Dunbartonshire,20 to 24 yrs old,All,63,14.96437
1711,2010,West Dunbartonshire,25 to 29 yrs old,All,79,18.76485
1712,2010,West Dunbartonshire,30 to 34 yrs old,All,93,22.09026
1713,2010,West Dunbartonshire,35 to 39 yrs old,All,79,18.76485
1714,2010,West Dunbartonshire,40 to 44 yrs old,All,36,8.55107
1715,2010,West Dunbartonshire,45+ yrs old,All,27,6.4133
1716,2010,West Dunbartonshire,Unknown,All,2,0.47506
1717,2011,West Dunbartonshire,Under 20yrs old,All,41,9.85577
1718,2011,West Dunbartonshire,20 to 24 yrs old,All,57,13.70192
1719,2011,West Dunbartonshire,25 to 29 yrs old,All,91,21.875
1720,2011,West Dunbartonshire,30 to 34 yrs old,All,91,21.875
1721,2011,West Dunbartonshire,35 to 39 yrs old,All,66,15.86538
1722,2011,West Dunbartonshire,40 to 44 yrs old,All,35,8.41346
1723,2011,West Dunbartonshire,45+ yrs old,All,35,8.41346
1724,2011,West Dunbartonshire,Unknown,All,0,0
1725,2012,West Dunbartonshire,Under 20yrs old,All,17,5.04451
1726,2012,West Dunbartonshire,20 to 24 yrs old,All,42,12.46291
1727,2012,West Dunbartonshire,25 to 29 yrs old,All,60,17.80415
1728,2012,West Dunbartonshire,30 to 34 yrs old,All,62,18.39763
1729,2012,West Dunbartonshire,35 to 39 yrs old,All,66,19.58457
1730,2012,West Dunbartonshire,40 to 44 yrs old,All,45,13.35312
1731,2012,West Dunbartonshire,45+ yrs old,All,45,13.35312
1732,2012,West Dunbartonshire,Unknown,All,0,0
